"Column","Mean","Median","StdDev","P_Value","Normal","Wilcoxon_P_Value"
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s1",4.64285714285714,5,0.55872113989835,4.69307555049835e-07,"Not Normal",0.322295642368212
"s2",4.73333333333333,5,0.639683829949492,2.84164436206556e-09,"Not Normal",0.322295642368212
"s1",4.28571428571429,4.5,0.809990528391941,2.01580236811008e-05,"Not Normal",0.885528963584815
"s2",4.3,4,0.651258728182957,2.32245937688764e-05,"Not Normal",0.885528963584815
"s1",2.32142857142857,2,1.15641756615056,0.00509552976532271,"Not Normal",0.432066907308036
"s2",2.63333333333333,2,1.37673610356182,0.0024687613343379,"Not Normal",0.432066907308036
"s1",2.42857142857143,2,1.23013312825381,0.00386471604446902,"Not Normal",0.19021944315037
"s2",2.83333333333333,3,1.14721050989912,0.00814375073701103,"Not Normal",0.19021944315037
"s1",4.35714285714286,5,0.78004205557496,1.19077800250579e-05,"Not Normal",0.739171742718901
"s2",4.33333333333333,4,0.660894552251267,2.01838678522028e-05,"Not Normal",0.739171742718901
"s1",3.85714285714286,4,0.864437821507566,0.000233929198904802,"Not Normal",0.328564983439197
"s2",3.5,4,1.01904933073014,0.000443886734577609,"Not Normal",0.328564983439197
"s1",1.73076923076923,2,0.827414880586145,7.69669702101066e-06,"Not Normal",0.884988707095634
"s2",1.65384615384615,2,0.689481410470663,4.45011014840523e-06,"Not Normal",0.884988707095634
"s1",4.22222222222222,4,0.427792631946499,1.1913737706038e-06,"Not Normal",0.28544668841245
"s2",4,4,0.612372435695794,3.61666450321985e-06,"Not Normal",0.28544668841245
"s1",1.34615384615385,1,0.689481410470663,8.55632935977995e-08,"Not Normal",0.410412248948987
"s2",1.39285714285714,1,0.497347461393438,2.65552040094922e-07,"Not Normal",0.410412248948987
"s1",3.17857142857143,3,1.12393394522432,0.0310614023970883,"Not Normal",0.333725654216531
"s2",3.46666666666667,4,1.16658456197135,0.00391142514128284,"Not Normal",0.333725654216531
"s1",3.10714285714286,3.5,1.2863754913562,0.00421327286390055,"Not Normal",0.301473285087959
"s2",3.46666666666667,4,1.19577801345871,0.0062525142321864,"Not Normal",0.301473285087959
"s1",3,3,1.21716123890037,0.0225249535768521,"Not Normal",0.310730197901433
"s2",3.33333333333333,3.5,1.32178910450253,0.00720542691477062,"Not Normal",0.310730197901433
"s1",3.39285714285714,4,1.19688749786255,0.00154050208225555,"Not Normal",0.508007626113741
"s2",3.6,4,1.13258934335868,0.000664005876149256,"Not Normal",0.508007626113741
"s1",3.82142857142857,4,1.18801332542007,0.000164306356153128,"Not Normal",0.189347477549562
